name;description;resource;action
update-own-referensi-pengguna;mengelola data pengguna;ref-pengguna;update:own
update-own-referensi-role;mengelola data referensi role;ref-role;update:own
update-own-referensi-permission;mengelola data referensi permission;ref-permission;update:own
update-own-referensi-role-permission;mengelola data referensi role permission;ref-role-permission;update:own
update-own-referensi-narasumber;mengelola data referensi narasumber;ref-narasumber;update:own
update-own-referensi-materi;mengelola data referensi materi;ref-materi;update:own
update-own-referensi-kelas;mengelola data referensi kelas;ref-kelas;update:own
update-own-referensi-sbm-honorarium;mengelola data referensi sbm honorarium;ref-sbm-honorarium;update:own
update-own-referensi-sbm-uh-dalam-negeri;mengelola data referensi sbm uh dalam negeri;ref-sbm-uh-dalam-negeri;update:own
update-own-referensi-sbm-uh-luar-negeri;mengelola data referensi sbm uh luar negeri;ref-sbm-uh-luar-negeri;update:own
update-own-referensi-sbm-uh-uang-representasi;mengelola data referensi sbm uh uang representasi;ref-sbm-uh-uang-representasi;update:own
update-own-referensi-pengelola-keuangan;mengelola data referensi pengelola keuangan;ref-pengelola-keuangan;update:own
update-own-referensi-satker-anggaran;mengelola data referensi satker anggaran;ref-satker-anggaran;update:own
update-own-referensi-unit-kerja;mengelola data referensi unit kerja;ref-unit-kerja;update:own
update-own-referensi-negara;mengelola data referensi negara;ref-negara;update:own
update-own-referensi-provinsi;mengelola data referensi provinsi;ref-provinsi;update:own
update-own-proses-setup-kegiatan;mengelola proses setup kegiatan;proses-setup-kegiatan;update:own
update-own-proses-pengajuan;mengelola proses pengajuan;proses-pengajuan;update:own
update-own-proses-verifikasi;mengelola proses verifikasi;proses-verifikasi;update:own
update-own-proses-daftar-nominatif;mengelola proses daftar nominatif;proses-daftar-nominatif;update:own
update-own-proses-pembayaran;mengelola proses pembayaran;proses-pembayaran;update:own
read-any-referensi;mengelola data referensi;referensi;read:any
read-any-referensi-pengguna;mengelola data pengguna;ref-pengguna;read:any
read-any-referensi-role;mengelola data referensi role;ref-role;read:any
read-any-referensi-permission;mengelola data referensi permission;ref-permission;read:any
read-any-referensi-role-permission;mengelola data referensi role permission;ref-role-permission;read:any
read-any-referensi-narasumber;mengelola data referensi narasumber;ref-narasumber;read:any
read-any-referensi-materi;mengelola data referensi materi;ref-materi;read:any
read-any-referensi-kelas;mengelola data referensi kelas;ref-kelas;read:any
read-any-referensi-sbm-honorarium;mengelola data referensi sbm honorarium;ref-sbm-honorarium;read:any
read-any-referensi-sbm-uh-dalam-negeri;mengelola data referensi sbm uh dalam negeri;ref-sbm-uh-dalam-negeri;read:any
read-any-referensi-sbm-uh-luar-negeri;mengelola data referensi sbm uh luar negeri;ref-sbm-uh-luar-negeri;read:any
read-any-referensi-sbm-uh-uang-representasi;mengelola data referensi sbm uh uang representasi;ref-sbm-uh-uang-representasi;read:any
read-any-referensi-pengelola-keuangan;mengelola data referensi pengelola keuangan;ref-pengelola-keuangan;read:any
read-any-referensi-satker-anggaran;mengelola data referensi satker anggaran;ref-satker-anggaran;read:any
read-any-referensi-unit-kerja;mengelola data referensi unit kerja;ref-unit-kerja;read:any
read-any-referensi-negara;mengelola data referensi negara;ref-negara;read:any
read-any-referensi-provinsi;mengelola data referensi provinsi;ref-provinsi;read:any
read-any-proses-setup-kegiatan;mengelola proses setup kegiatan;proses-setup-kegiatan;read:any
read-any-proses-pengajuan;mengelola proses pengajuan;proses-pengajuan;read:any
read-any-proses-verifikasi;mengelola proses verifikasi;proses-verifikasi;read:any
read-any-proses-daftar-nominatif;mengelola proses daftar nominatif;proses-daftar-nominatif;read:any
read-any-proses-pembayaran;mengelola proses pembayaran;proses-pembayaran;read:any
read-own-referensi;mengelola data referensi;referensi;read:own
read-own-referensi-pengguna;mengelola data pengguna;ref-pengguna;read:own
read-own-referensi-role;mengelola data referensi role;ref-role;read:own
read-own-referensi-permission;mengelola data referensi permission;ref-permission;read:own
read-own-referensi-role-permission;mengelola data referensi role permission;ref-role-permission;read:own
read-own-referensi-narasumber;mengelola data referensi narasumber;ref-narasumber;read:own
read-own-referensi-materi;mengelola data referensi materi;ref-materi;read:own
read-own-referensi-kelas;mengelola data referensi kelas;ref-kelas;read:own
read-own-referensi-sbm-honorarium;mengelola data referensi sbm honorarium;ref-sbm-honorarium;read:own
read-own-referensi-sbm-uh-dalam-negeri;mengelola data referensi sbm uh dalam negeri;ref-sbm-uh-dalam-negeri;read:own
read-own-referensi-sbm-uh-luar-negeri;mengelola data referensi sbm uh luar negeri;ref-sbm-uh-luar-negeri;read:own
read-own-referensi-sbm-uh-uang-representasi;mengelola data referensi sbm uh uang representasi;ref-sbm-uh-uang-representasi;read:own
read-own-referensi-pengelola-keuangan;mengelola data referensi pengelola keuangan;ref-pengelola-keuangan;read:own
read-own-referensi-satker-anggaran;mengelola data referensi satker anggaran;ref-satker-anggaran;read:own
read-own-referensi-unit-kerja;mengelola data referensi unit kerja;ref-unit-kerja;read:own
read-own-referensi-negara;mengelola data referensi negara;ref-negara;read:own
read-own-referensi-provinsi;mengelola data referensi provinsi;ref-provinsi;read:own
read-own-proses-setup-kegiatan;mengelola proses setup kegiatan;proses-setup-kegiatan;read:own
read-own-proses-pengajuan;mengelola proses pengajuan;proses-pengajuan;read:own
read-own-proses-verifikasi;mengelola proses verifikasi;proses-verifikasi;read:own
read-own-proses-daftar-nominatif;mengelola proses daftar nominatif;proses-daftar-nominatif;read:own
read-own-proses-pembayaran;mengelola proses pembayaran;proses-pembayaran;read:own
delete-any-referensi;mengelola data referensi;referensi;delete:any
delete-any-referensi-pengguna;mengelola data pengguna;ref-pengguna;delete:any
delete-any-referensi-role;mengelola data referensi role;ref-role;delete:any
delete-any-referensi-permission;mengelola data referensi permission;ref-permission;delete:any
delete-any-referensi-role-permission;mengelola data referensi role permission;ref-role-permission;delete:any
delete-any-referensi-narasumber;mengelola data referensi narasumber;ref-narasumber;delete:any
delete-any-referensi-materi;mengelola data referensi materi;ref-materi;delete:any
delete-any-referensi-kelas;mengelola data referensi kelas;ref-kelas;delete:any
delete-any-referensi-sbm-honorarium;mengelola data referensi sbm honorarium;ref-sbm-honorarium;delete:any
delete-any-referensi-sbm-uh-dalam-negeri;mengelola data referensi sbm uh dalam negeri;ref-sbm-uh-dalam-negeri;delete:any
delete-any-referensi-sbm-uh-luar-negeri;mengelola data referensi sbm uh luar negeri;ref-sbm-uh-luar-negeri;delete:any
delete-any-referensi-sbm-uh-uang-representasi;mengelola data referensi sbm uh uang representasi;ref-sbm-uh-uang-representasi;delete:any
delete-any-referensi-pengelola-keuangan;mengelola data referensi pengelola keuangan;ref-pengelola-keuangan;delete:any
delete-any-referensi-satker-anggaran;mengelola data referensi satker anggaran;ref-satker-anggaran;delete:any
delete-any-referensi-unit-kerja;mengelola data referensi unit kerja;ref-unit-kerja;delete:any
delete-any-referensi-negara;mengelola data referensi negara;ref-negara;delete:any
delete-any-referensi-provinsi;mengelola data referensi provinsi;ref-provinsi;delete:any
delete-any-proses-setup-kegiatan;mengelola proses setup kegiatan;proses-setup-kegiatan;delete:any
